text,label
Medical insurance for family,Insurance
Photocopy charges,Miscellaneous
Monthly allowance from parents,Income
Home decor items,Shopping
Uber ride to friend's place,Transportation
Mobile recharge for prepaid plan,Utilities
Video game purchase,Recreation
Anniversary gift for parents,Gifts
Seminar registration fee,Education
Purchased gold coins,Investments
Train ticket to Delhi,Travel
Jewelry purchase,Personal Spending
Medical insurance for family,Insurance
Post office parcel fee,Miscellaneous
Movie tickets at PVR,Recreation
Workshop registration fee,Education
Part-time job salary,Income
Travel insurance payment,Travel
Street food at local market,Food
LPG bill payment,Utilities
Metro card top-up,Transportation
Security deposit for new room,Housing
Bought shoes from Myntra,Personal Spending
Video game purchase,Recreation
Credit card payment,Saving & Debt
Gold purchase,Saving & Debt
ETF investment,Investments
Accidental insurance for college,Insurance
Ola ride to railway station,Travel
Groceries from local store,Food
Bought stocks on Groww,Investments
Cable TV subscription fee,Utilities
Movie tickets at PVR,Recreation
Term insurance premium,Insurance
Stock market investment,Saving & Debt
Amusement park entry fee,Recreation
Thank you gift for teacher,Gifts
Uber ride to friend's place,Transportation
Dividend from stocks,Income
Thank you gift for teacher,Gifts
Ola ride to railway station,Travel
Security deposit for new room,Housing
Bought stocks on Groww,Investments
Donation to charity,Gifts
Laundry service payment,Housing
Piggy bank savings,Saving & Debt
Monthly allowance from parents,Income
Medicines from local pharmacy,Healthcare
Mutual fund investment,Saving & Debt
Tea and snacks at tapri,Food
Electricity bill for shared apartment,Housing
Movie tickets at PVR,Recreation
Part-time job salary,Income
Purchased gold coins,Investments
Term insurance premium,Insurance
Doctor's consultation fee,Healthcare
Dinner at a local dhaba,Food
Furniture from Pepperfry,Shopping
Invested in fixed deposit,Investments
Educational software purchase,Education
Donation to charity,Gifts
Stationery purchase for college,Education
Health insurance premium,Insurance
Mutual fund investment,Saving & Debt
Freelance project payment,Income
Mutual fund investment,Saving & Debt
Perfume purchase from Nykaa,Personal Spending
Peer-to-peer lending,Investments
Workshop registration fee,Education
Freelance project payment,Income
Perfume purchase from Nykaa,Personal Spending
Gas cylinder refill,Utilities
Internet bill for PG,Housing
Housewarming gift,Gifts
Haircut at local salon,Personal Spending
Donation to charity,Miscellaneous
Flight booking to Goa,Travel
Cosmetics from Sephora,Personal Spending
Mutual fund investment,Saving & Debt
Weekend trip to Goa,Recreation
Physiotherapy session fee,Healthcare
Farewell gift for colleague,Gifts
Groceries from local store,Shopping
Printing charges for project,Miscellaneous
Ordered food from Zomato,Food
Furniture purchase for room,Housing
Yoga class payment,Healthcare
Train ticket to hometown,Transportation
Peer-to-peer lending,Investments
Postpaid mobile bill payment,Utilities
Bank service charge,Miscellaneous
Electricity bill for shared apartment,Utilities
Gym membership fee,Healthcare
Furniture from Pepperfry,Shopping
Cashback received from Amazon,Income
Started a SIP in Nifty 50,Investments
Two-wheeler insurance payment,Insurance
